id,name,voltage_kv,cables,operator,capacity_mw,start_lon,start_lat,end_lon,end_lat,length_km
336066267,Line_336066267,380.0,3,unknown,1500,9.1712602,45.6138723,9.1721582,45.6139654,0.07
336066268,Line_336066268,380.0,3,unknown,1500,9.1716341,45.6124874,9.1725288,45.6125834,0.07
336072553,Line_336072553,132.0,unknown,unknown,300,9.1712727,45.610619,9.1717534,45.608678,0.22
336072554,Line_336072554,132.0,unknown,unknown,300,9.1714001,45.6106348,9.1717534,45.608678,0.22
336072556,Line_336072556,132.0,3,unknown,300,9.170561,45.6111319,9.1686475,45.6122241,0.19
336072557,Line_336072557,132.0,unknown,unknown,300,9.1698778,45.6104639,9.1700229,45.61048,0.44
336072558,Line_336072558,132.0,3,unknown,300,9.1688835,45.6104299,9.1688163,45.6107251,0.03
336072945,Line_336072945,132.0,3,unknown,300,9.1691988,45.6109777,9.1683284,45.6121668,0.15
336072946,Line_336072946,132.0,3,unknown,300,9.1683284,45.6121668,9.1690399,45.6109524,0.15
336072947,Line_336072947,132.0,3,unknown,300,9.1694666,45.6110007,9.1686475,45.6122241,0.15
336072948,Line_336072948,132.0,6,unknown,300,9.1777052,45.6246527,9.1686475,45.6122241,1.59
336074299,Line_336074299,220.0,unknown,unknown,700,9.2888988,45.5562634,9.2883036,45.5552865,0.12
336074300,Line_336074300,380.0,unknown,unknown,1500,9.2914701,45.5537481,9.2890413,45.5544838,0.21
336074301,Line_336074301,380.0,unknown,unknown,1500,9.2891572,45.5546678,9.2915759,45.5539344,0.21
336074302,Line_336074302,220.0,unknown,unknown,700,9.2884707,45.5552351,9.2890643,45.5562157,0.12
336074303,Line_336074303,220.0,unknown,unknown,700,9.2883674,45.5560453,9.2888683,45.5558919,0.04
336074304,Line_336074304,220.0,unknown,unknown,700,9.2884927,45.5555969,9.2889261,45.5554632,0.04
336074305,Line_336074305,220.0,unknown,unknown,700,9.2890516,45.5555626,9.2882229,45.5558165,0.07
336074306,Line_336074306,220.0,unknown,unknown,700,9.2885847,45.5554234,9.2880805,45.5555811,0.04
336074307,Line_336074307,380.0,unknown,unknown,1500,9.290004,45.5541922,9.2903724,45.5547455,0.07
336074309,Line_336074309,380.0,unknown,unknown,1500,9.289327,45.5546163,9.2889696,45.5540443,0.07
336074311,Line_336074311,380.0,unknown,unknown,1500,9.2897348,45.5542737,9.290051,45.55478,0.06
336074313,Line_336074313,380.0,unknown,unknown,1500,9.2894708,45.5543537,9.2898324,45.5549153,0.07
336074314,Line_336074314,220.0,unknown,unknown,700,9.2885014,45.5562839,9.2890095,45.5561251,0.04
336074316,Line_336074316,220.0,unknown,unknown,700,9.2885196,45.5553158,9.2880133,45.555467,0.04
336074317,Line_336074317,220.0,unknown,unknown,700,9.2892589,45.5559126,9.288778,45.5560651,0.04
336074319,Line_336074319,380.0,unknown,unknown,1500,9.2913539,45.554412,9.2910372,45.5538793,0.06
336074321,Line_336074321,220.0,unknown,unknown,700,9.2886346,45.5558298,9.2893001,45.5556273,0.06
336074322,Line_336074322,380.0,unknown,unknown,1500,9.2907899,45.5545422,9.290504,45.5540408,0.06
336074324,Line_336074324,380.0,unknown,unknown,1500,9.2903566,45.5543041,9.2900305,45.553729,0.07
336074325,Line_336074325,380.0,unknown,unknown,1500,9.2914094,45.5539849,9.2910676,45.5534209,0.07
336075656,Line_336075656,132.0,unknown,unknown,300,9.2887442,45.5537955,9.2913647,45.5530056,0.38
336075657,Line_336075657,132.0,unknown,unknown,300,9.2913127,45.5529207,9.2886836,45.5537132,0.22
336075658,Line_336075658,132.0,unknown,unknown,300,9.2889696,45.5540443,9.2886445,45.5535044,0.07
336075659,Line_336075659,132.0,unknown,unknown,300,9.2910676,45.5534209,9.290746,45.5528742,0.07
