Report generated on: 06-21-2022 01:08:09
2020
""
4354.37090184
0.62
5.281
0.09
0
10.08
0
0
24.262
1.778
0
15.15
45.344
1.067
0
0.61
0
0.394
0.2713
0.08
0.00006
0
8.95
2.94
6.1
0
409.5
0
0
3.37
0.11
11
0.22
0
3.49
5.88
383
0
0.15
0
20.79
1355.2
45.82
0
1.07
9.19
0
8.29
3.4
0.06
0
3.4
2.31
0.02
0
0.04
0.12
24.79
12.09
1.99
0.12
0
0.04
0.16
13.56
0
0.11
0.5
15.56
--
--
--
--
64.84
0.44
0.18
1.74
0
8.25
24.75
--
--
7.21
0
3.43
0.5
0
0.03
0
5.77
2.47
0
0
0.13
--
2.7
0
0.24
12.46
155
18.63
27.7
1.8
1.21
0.02
47.72
0.16
89.17
0.03
9.9
3.52
0
0.26
0
14.8
19.2
2.59
0.97
0.5
0.53
0
0.3
0.092
0
0.81
1.3
15.8
0
0.95
0
0
0.21
0.1
23.12
""
0.2
0.09
1.8
0
1.55
14.17
0.95
0
3
0.05
0
0.22
23.98
0.57
0
6.1
0
12.2
1.24
""
141.69
0
37.38
0
7.25
0.8
49.34
29.04
7.79
2.93
13.96
0.05
0
0.49
15.53
196
0.45
0
0
0
0
0.04
0.04
0.01
0
0.31
9.66
0
0.18
0
4.67
5.24
0
0
5.67
7.1
0
33.34
4.9
7.75
1.36
71.6
37.867647
0.75
6.18
17
2.35
4.54
0
0
0.09
0
0
0.06
77.39
0
0
""
0
""
0
4.03
4.85
0
7.64
285.27389484
3.95
6.9
0
72
51.98
0
0
0
13.67
7.26
