id,name,voltage_kv,cables,operator,start_lat,start_lon,end_lat,end_lon,length_km,capacity_mw
30129595,Line_30129595,132,3,Unknown,45.35770830000003,9.674443200000018,45.313413599999734,9.66585459999991,4.97,300
31193726,Line_31193726,132,3,Unknown,45.63334310000004,9.608510999999996,45.63744019999979,9.441081599999992,13.03,300
32243300,Ardenno-Zogno,132,3,Unknown,45.95174830000033,9.712775500000063,45.789658499999916,9.643202599999984,18.81,300
34168764,Line_34168764,380,3,Unknown,45.53950199999984,9.092035599999985,45.53917190000017,9.08633489999998,0.45,2000
34168765,Line_34168765,380,6,Unknown,45.54743649999984,9.064625999999985,45.53917190000017,9.08633489999998,1.92,2000
37675496,Line_37675496,132,3,Unknown,45.63149010000016,9.618128900000034,45.63212890000005,9.609996499999996,0.64,300
38148119,Line_38148119,132,3,Unknown,45.313413599999734,9.66585459999991,45.333506899999996,9.441438799999997,17.69,300
38219676,Line_38219676,132,3,Unknown,45.35791600000029,9.674386699999996,45.37350440000029,9.784736099999998,8.79,300
41225135,Line_41225135,132,3,Unknown,45.635495700000156,9.644613500000034,45.61924180000002,9.657191800000053,2.06,300
41225141,Grassobbio-Gorlago,132,3,Unknown,45.637874899999986,9.727553100000016,45.670166400000284,9.819685000000021,8.01,300
42231933,C.P. Sorisole - C.P. Curno,132,3,Unknown,45.684268400000185,9.619009300000055,45.73020020000002,9.629715399999972,5.17,300
49423059,Grassobbio-Stezzano,132,3,Unknown,45.64063229999979,9.724706699999997,45.64047759999979,9.726167699999996,0.11,300
50847149,Pavia est-Pavia Torretta,132,3,Unknown,45.20206259999979,9.168157799999978,45.19849949999993,9.230571300000026,4.91,300
51564654,Copiano-Pavia Est,132,3,Unknown,45.19857399999993,9.230696800000025,45.1857517999998,9.328280699999992,7.78,300
52064986,Line_52064986,132,3,Italgen,45.73031440000059,9.740586899999983,45.731979100000146,9.592695999999986,11.48,300
61730130,Ospiate-Brusuglio,132,3,Terna,45.53754299999999,9.119815699999974,45.53922200000001,9.171002700000022,3.99,300
61730131,Ospiate-Torretta,220,3,Terna,45.535848200000274,9.168767000000049,45.53763289999993,9.090712700000001,6.08,800
62289690,Rho CP-Settimo Milanese,132,3,Unknown,45.47910020000002,9.038368500000011,45.51144279999997,9.028925800000032,3.67,300
64398197,Rondissone - Turbigo,380,3,Unknown,45.23327210000001,7.937015999999976,45.49207290000015,8.646001199999999,62.42,2000
67461114,Novara ovest-Novara sud,132,3,Unknown,45.42278599999995,8.60041529999998,45.45339680000013,8.579016099999937,3.79,300
72465752,Line_72465752,380,6,Terna,46.051238800000085,10.35493589999999,46.17070440000006,10.342618299999996,13.32,2000
72470154,Line_72470154,380,3,A2A,46.057796400000065,10.358422099999995,46.04454190000012,10.347530799999983,1.7,2000
72475422,Chiuduno-Gorlago,132,3,Unknown,45.670721900000075,9.81805180000004,45.6356530000001,9.827617000000046,3.97,300
72475427,Gorlago-Verderio,380,3,Unknown,45.6561019,9.453016899999948,45.6708517,9.820242699999948,28.58,2000
72475428,Line_72475428,132,6,Unknown,45.637551200000466,9.741737500000022,45.580036099999795,9.604350499999992,12.45,300
72475430,Line_72475430,132,6,Unknown,45.54144260000029,9.89889310000002,45.5785638000005,9.889429300000073,4.19,300
72475436,Line_72475436,132,6,Unknown,45.72866220000004,9.743116000000006,45.67544610000027,9.822170700000028,8.53,300
72475439,Line_72475439,132,3,Unknown,45.72844650000002,9.741375800000004,45.72866220000004,9.743116000000006,0.14,300
72484063,Line_72484063,132,3,Unknown,45.67544610000027,9.822170700000028,45.485488100000595,10.333696400000028,45.07,300
72484087,Line_72484087,132,3,Unknown,45.540373800000175,9.898562699999992,45.54073110000027,9.895023300000014,0.28,300
72561693,Line_72561693,135,3,Unknown,45.57024189999981,9.331105400000002,45.54102669999997,9.299246200000036,4.09,300
72561694,Line_72561694,220,6,Unknown,45.57691649999982,9.4565969,45.652682100000014,9.4501068,8.44,800
72561696,Line_72561696,132,3,Unknown,45.538938299999856,9.302181600000033,45.52875749999986,9.299514000000041,1.15,300
72561698,Milano Ricevitrice Nord – Sesto San Giovanni,220,3,Unknown,45.52232870000004,9.230187199999957,45.517366799999834,9.234729600000005,0.66,800
72562044,Line_72562044,132,3,Unknown,45.62970289999983,9.343824200000002,45.57697730000032,9.31378419999999,6.31,300
72562045,Line_72562045,132,3,Unknown,45.61741819999997,9.326069600000023,45.61534359999982,9.3319243,0.51,300
72565611,Line_72565611,132,3,Terna S.p.A.,45.604766099999836,9.21411630000004,45.6378025000001,9.2424162,4.28,300
72565614,Line_72565614,132,3,Unknown,45.69805530000005,9.262987399999988,45.70607909999996,9.28057829999999,1.63,300
72565617,Line_72565617,132,3,Terna S.p.A.,45.6326822000002,9.23971160000003,45.63816429999978,9.360173499999995,9.39,300
72565624,Line_72565624,132,3,Unknown,45.702009899999965,9.21694209999999,45.72398169999977,9.224784599999989,2.52,300
72565625,Line_72565625,132,3,Terna S.p.A.,45.63833919999976,9.242263099999997,45.69794750000005,9.263038899999987,6.82,300
72565852,Line_72565852,132,3,Unknown,45.83987719999977,9.405502799999988,45.828490200000054,9.412022499999955,1.36,300
72570380,Castiglione Olona-Sumirago,132,3,Unknown,45.7510846,8.849218100000021,45.74442950000008,8.791426099999969,4.54,300
72570390,Line_72570390,380,3,Unknown,46.16272150000003,8.911714499999986,46.092778499999916,8.812922999999994,10.88,2000
72570404,Line_72570404,380,3,Unknown,46.06903939999992,8.734107299999993,46.069250799999935,8.735046999999993,0.08,2000
72570405,Line_72570405,380,3,Unknown,46.06813789999993,8.747896299999992,46.0672897,8.751416200000026,0.29,2000
72570408,Creva CP-Cunardo-Mascioni CS,132,3,Unknown,45.92999639999999,8.812796100000012,45.89549200000009,8.724449400000085,7.84,300
72570415,Line_72570415,132,3,Unknown,45.930506799999996,8.816238800000013,45.91081029999999,8.823412000000019,2.26,300
72570416,Creva CP-Cunardo-Mascioni CS,132,3,Unknown,45.93062749999999,8.816237700000025,45.99180130000002,8.758951500000087,8.12,300
72570427,Line_72570427,132,6,Unknown,45.749318400000014,8.876830900000023,45.7510846,8.849218100000021,2.15,300
72570430,Cislago-Tradate,132,3,Unknown,45.65517150000004,8.979068799999991,45.695739000000195,8.906558899999958,7.22,300
72570437,Castiglione Olona-Varese sud,132,3,Unknown,45.7510846,8.849218100000021,45.78983210000001,8.836642700000024,4.42,300
72570440,Turbigo-Mercallo,380,3,Unknown,45.73638070000007,8.666384500000014,45.517539999999954,8.746385000000034,25.12,2000
72570441,Faloppio-Luisago,132,3,Unknown,45.80270549999994,8.959366100000018,45.7608192,9.036888700000027,7.6,300
72570444,Line_72570444,132,6,Unknown,45.83686219999996,8.845672400000065,45.81958,8.879259100000025,3.23,300
72570466,Line_72570466,380,3,Unknown,46.067199900000034,8.75196740000001,46.06714899999999,8.752243400000014,0.02,2000
72570469,Line_72570469,132,3,Unknown,45.789996399999985,8.836736400000017,45.82008149999999,8.876250700000027,4.54,300
