converter_id,bus0,bus1,voltage,geometry
converter/relation/8184641_1,6007,2748,400.0,'LINESTRING (-6.5453 53.472, -6.5676 53.4749)'
converter/relation/13295785_0,6056,4183,515.0,'LINESTRING (6.653 59.5307, 6.6408 59.5412)'
converter/relation/13295785_1,5998,2585,515.0,'LINESTRING (-1.5406 55.1468, -1.5326 55.1431)'
converter/relation/14126301_0,5985,2492,450.0,'LINESTRING (0.7165 51.4403, 0.7106 51.4408)'
converter/relation/14126301_1,6020,3161,450.0,'LINESTRING (4.0218 51.9568, 4.0693 51.9581)'
converter/relation/8185767_0,6015,3095,500.0,'LINESTRING (14.125 42.3954, 14.1282 42.402)'
converter/relation/8185767_1,6017,3149,500.0,'LINESTRING (18.7952 42.3173, 18.7937 42.3191)'
converter/relation/8185455_0,6042,3113,300.0,'LINESTRING (21.2562 55.6815, 21.274 55.6868)'
converter/relation/8185455_1,6041,4209,300.0,'LINESTRING (15.855 56.7682, 15.8572 56.7671)'
converter/relation/3392010_0,6053,3438,450.0,'LINESTRING (16.8909 54.5018, 16.8912 54.5012)'
converter/relation/3392010_1,6052,4217,450.0,'LINESTRING (14.8414 56.1533, 14.8371 56.1525)'
