time,CALA,CNOR,CSUD,NORD,SARD,SICI,SUD
2013-01-01 00:00:00,1239.4360078647035,3781.4639985171525,5020.900006381856,16160.035083433428,1168.3855360762811,2573.60597811397,3323.5831803250967
2013-01-01 01:00:00,1193.3610931688247,3640.891488075586,4834.252581244411,15559.300367621556,1124.9518585285737,2477.934499191317,3200.0319759495237
2013-01-01 02:00:00,1181.350431957576,3604.247496227254,4785.5979281848295,15402.702765714383,1113.6297065587341,2452.995164446941,3167.825043656939
2013-01-01 03:00:00,1181.350431957576,3604.247496227254,4785.5979281848295,15402.702765714383,1113.6297065587341,2452.995164446941,3167.825043656939
2013-01-01 04:00:00,1234.2266895592152,3765.570600629707,4999.797290188922,16092.114863233843,1163.4748411131454,2562.789177046523,3309.6142439772584
2013-01-01 05:00:00,1473.616578991721,4495.938479853722,5969.555058845443,19213.332084051293,1389.1417432533424,3059.866272301281,3951.5450939841694
2013-01-01 06:00:00,1625.794860334544,4960.227631211761,6586.022491546305,21197.46547200517,1532.596428850398,3375.854295981282,4359.615517202822
2013-01-01 07:00:00,1712.2534401073644,5224.0089032575,6936.262343364864,22324.731158597293,1614.0987843050314,3555.379754617839,4591.4566769757985
2013-01-01 08:00:00,1771.7696591646936,5405.5902340120265,7177.35989317672,23100.716511529477,1670.2032455820042,3678.961203106306,4751.051124256917
2013-01-01 09:00:00,1782.4375177618551,5438.137394954959,7220.574912716813,23239.80636215616,1680.2595708837869,3701.1122980278005,4779.6572928518535
2013-01-01 10:00:00,1767.7863632256679,5393.437375701241,7161.2237389269085,23048.78143645186,1666.4482914484004,3670.690155487692,4740.369802025517
2013-01-01 11:00:00,1765.6497613482068,5386.918698635612,7152.568459983818,23020.92395846993,1664.4341699333413,3666.2536445829,4734.640442850924
2013-01-01 12:00:00,1752.1498966293468,5345.731213283166,7097.881109912512,22844.90979872785,1651.70818280983,3638.222078351382,4698.440168668503
2013-01-01 13:00:00,1748.3439840985207,5334.119543841984,7082.463527940504,22795.287486940586,1648.1204436087967,3630.319355516673,4688.234505130428
2013-01-01 14:00:00,1750.5706395488585,5340.912970343332,7091.4836098921905,22824.319102907728,1650.2194563900068,3634.9428566428523,4694.205345541844
2013-01-01 15:00:00,1757.3835583392233,5361.698881812024,7119.082440151248,22913.14741350567,1656.6418256955735,3649.089426869979,4712.4743825529495
2013-01-01 16:00:00,1801.456355699366,5496.163021528639,7297.619377228004,23487.778089914664,1698.1881569650075,3740.603643044543,4830.656851907217
2013-01-01 17:00:00,1805.561368660333,5508.687233046494,7314.248601706827,23541.300137883452,1702.0578507116516,3749.127427918908,4841.664561821658
2013-01-01 18:00:00,1805.561368660333,5508.687233046494,7314.248601706827,23541.300137883452,1702.0578507116516,3749.127427918908,4841.664561821658
2013-01-01 19:00:00,1756.6988788116041,5359.609955100371,7116.308833911975,22904.22041355002,1655.9963953128497,3647.667735621547,4710.6383947750655
2013-01-01 20:00:00,1638.1984206879472,4998.07034082501,6636.268761512957,21359.18577801419,1544.2889570816317,3401.609459517648,4392.876019806534
2013-01-01 21:00:00,1572.6845315368637,4798.190386026482,6370.874917563346,20505.00150354115,1482.5306411939862,3265.5742501975637,4217.198648261272
2013-01-01 22:00:00,1483.233755827454,4525.280057588219,6008.513813415672,19338.722918336294,1398.2076169583643,3079.8356968136936,3977.333829320752
2013-01-01 23:00:00,1286.7897173421525,3925.9380548209615,5212.7277721631135,16777.44300254386,1213.0247016983349,2671.9327888760613,3450.5635095608036
2013-01-02 00:00:00,1223.575258504176,3733.073559385352,4956.648817889527,15953.239198458905,1153.4340016472486,2540.672192817588,3281.052126307376
2013-01-02 01:00:00,1174.0529432330072,3581.9831834943343,4756.036126727341,15307.55652737558,1106.7505452132807,2437.842417158983,3148.256618478319
2013-01-02 02:00:00,1162.0422820217582,3545.3391916460005,4707.381473667759,15150.958925468402,1095.4283932434407,2412.9030824146057,3116.0496861857337
2013-01-02 03:00:00,1162.0422820217582,3545.3391916460005,4707.381473667759,15150.958925468402,1095.4283932434407,2412.9030824146057,3116.0496861857337
2013-01-02 04:00:00,1213.6235726501006,3702.7114095503066,4916.3349822004075,15823.486963151312,1144.0527946000948,2520.0081827002086,3254.36639545027
2013-01-02 05:00:00,1420.9885219746839,4335.3726243686215,5756.361146343304,18527.15607950432,1339.5305812245429,2950.587631616222,3810.42145064549
2013-01-02 06:00:00,1588.80667458577,4847.378325647031,6436.1850002328,20715.2054960323,1497.7285849598343,3299.0508020061206,4260.430636946556
2013-01-02 07:00:00,1705.6950205446951,5203.999457585407,6909.694478130102,22239.221064044526,1607.9163250994577,3541.7616350163726,4573.870086938322
2013-01-02 08:00:00,1753.289270094875,5349.207390926402,7102.496661021276,22859.765196714707,1652.7822418728758,3640.587911152415,4701.495431273518
2013-01-02 09:00:00,1765.960097195758,5387.8655194698595,7153.825616665617,23024.970184456794,1664.7267158278482,3666.8980362153948,4735.472617321108
2013-01-02 10:00:00,1765.6497613482068,5386.918698635612,7152.568459983818,23020.92395846993,1664.4341699333413,3666.2536445829,4734.640442850924
2013-01-02 11:00:00,1753.2451795932209,5349.072872771673,7102.318052364893,22859.19033520588,1652.7406788522082,3640.496360174458,4701.377201329592
2013-01-02 12:00:00,1741.1769794261452,5312.2533321345445,7053.430311560689,22701.842527931967,1641.364286338022,3615.4375496364537,4669.015976677752
2013-01-02 13:00:00,1741.1769794261452,5312.2533321345445,7053.430311560689,22701.842527931967,1641.364286338022,3615.4375496364537,4669.015976677752
2013-01-02 14:00:00,1739.5977223456568,5307.435089194711,7047.032811540367,22681.251832111844,1639.8755599181989,3612.158327927924,4664.781153551093
2013-01-02 15:00:00,1750.5706395488585,5340.912970343332,7091.4836098921905,22824.319102907728,1650.2194563900068,3634.9428566428523,4694.205345541844
