name,y,x,n_substations,max_voltage_kv
CALA,38.982287094730495,16.381982509820823,157,380.0
CNOR,43.39166343905353,11.652439825899267,479,380.0
CSUD,41.60591744156748,13.72859316421461,636,500.0
NORD,45.344705841142286,10.075489044921214,2047,380.0
SARD,39.993209447607605,8.901707111547859,148,500.0
SICI,37.62253406124431,14.257295337242779,326,380.0
SUD,40.89603536879085,16.421163036256235,421,400.0
