technology,year,parameter,value,unit,source,further description,currency_year
solar-rooftop,2030,discount rate,0.04,per unit,standard for decentral,,
onwind,2030,lifetime,30.0,years,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,
offwind,2030,lifetime,30.0,years,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,
solar,2030,lifetime,25.0,years,IEA2010,,
solar-rooftop,2030,lifetime,25.0,years,IEA2010,,
solar-utility,2030,lifetime,25.0,years,IEA2010,,
PHS,2030,lifetime,80.0,years,IEA2010,,
hydro,2030,lifetime,80.0,years,IEA2010,,
ror,2030,lifetime,80.0,years,IEA2010,,
OCGT,2030,lifetime,30.0,years,IEA2010,,
nuclear,2030,lifetime,45.0,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,
CCGT,2030,lifetime,30.0,years,IEA2010,,
coal,2030,lifetime,40.0,years,IEA2010,,
lignite,2030,lifetime,40.0,years,IEA2010,,
geothermal,2030,lifetime,40.0,years,IEA2010,,
biomass,2030,lifetime,30.0,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,
oil,2030,lifetime,30.0,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,
onwind,2030,investment,1040.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind,2030,investment,1640.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind-ac-station,2030,investment,250.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind-ac-connection-submarine,2030,investment,2685.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind-ac-connection-underground,2030,investment,1342.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind-dc-station,2030,investment,400.0,EUR/kWel,Haertel 2017, assuming one onshore and one offshore node + 13% learning reduction,2013.0
offwind-dc-connection-submarine,2030,investment,2000.0,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2013.0
offwind-dc-connection-underground,2030,investment,1000.0,EUR/MW/km,Haertel 2017, average + 13% learning reduction,2013.0
solar,2030,investment,600.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
biomass,2030,investment,2209.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
geothermal,2030,investment,3392.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
coal,2030,investment,1300.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013.0
lignite,2030,investment,1500.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
solar-rooftop,2030,investment,725.0,EUR/kWel,ETIP PV,,2013.0
solar-utility,2030,investment,425.0,EUR/kWel,ETIP PV,,2013.0
PHS,2030,investment,2000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
hydro,2030,investment,2000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
ror,2030,investment,3000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
OCGT,2030,investment,400.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
nuclear,2030,investment,6000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
CCGT,2030,investment,800.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
oil,2030,investment,400.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
onwind,2030,FOM,2.450549,%/year,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind,2030,FOM,2.304878,%/year,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
solar,2030,FOM,4.166667,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
solar-rooftop,2030,FOM,2.0,%/year,ETIP PV,,2013.0
solar-utility,2030,FOM,3.0,%/year,ETIP PV,,2013.0
biomass,2030,FOM,4.526935,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
geothermal,2030,FOM,2.358491,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
coal,2030,FOM,1.923076,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013.0
lignite,2030,FOM,2.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013.0
oil,2030,FOM,1.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
PHS,2030,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
hydro,2030,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
ror,2030,FOM,2.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
CCGT,2030,FOM,2.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
OCGT,2030,FOM,3.75,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
onwind,2030,VOM,2.3,EUR/MWhel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
offwind,2030,VOM,2.7,EUR/MWhel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2013.0
solar,2030,VOM,0.01,EUR/MWhel,RES costs made up to fix curtailment order,,2013.0
coal,2030,VOM,6.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2013.0
lignite,2030,VOM,7.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
CCGT,2030,VOM,4.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
OCGT,2030,VOM,3.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
nuclear,2030,VOM,8.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
gas,2030,fuel,21.6,EUR/MWhth,IEA2011b,,2013.0
uranium,2030,fuel,3.0,EUR/MWhth,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
oil,2030,VOM,3.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2013.0
nuclear,2030,fuel,3.0,EUR/MWhth,IEA2011b,,2013.0
biomass,2030,fuel,7.0,EUR/MWhth,IEA2011b,,2013.0
coal,2030,fuel,8.4,EUR/MWhth,IEA2011b,,2013.0
lignite,2030,fuel,2.9,EUR/MWhth,IEA2011b,,2013.0
oil,2030,fuel,50.0,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf,,2013.0
PHS,2030,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
hydro,2030,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
ror,2030,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
OCGT,2030,efficiency,0.39,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
CCGT,2030,efficiency,0.5,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
biomass,2030,efficiency,0.468,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
geothermal,2030,efficiency,0.239,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
nuclear,2030,efficiency,0.337,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
gas,2030,CO2 intensity,0.187,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
coal,2030,efficiency,0.464,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,
lignite,2030,efficiency,0.447,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
oil,2030,efficiency,0.393,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 CT,,
coal,2030,CO2 intensity,0.354,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
lignite,2030,CO2 intensity,0.334,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
oil,2030,CO2 intensity,0.248,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
geothermal,2030,CO2 intensity,0.026,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,
electrolysis,2030,investment,350.0,EUR/kWel,Palzer Thesis,,2013.0
electrolysis,2030,FOM,4.0,%/year,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,2013.0
electrolysis,2030,lifetime,18.0,years,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,
electrolysis,2030,efficiency,0.8,per unit,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,
fuel cell,2030,investment,339.0,EUR/kWel,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,2013.0
fuel cell,2030,FOM,3.0,%/year,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,2013.0
fuel cell,2030,lifetime,20.0,years,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013,
fuel cell,2030,efficiency,0.58,per unit,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf, budischak2013 conservative 2020,
hydrogen storage tank,2030,investment,11.2,USD/kWh,budischak2013,,2013.0
hydrogen storage tank,2030,lifetime,20.0,years,budischak2013,,
hydrogen storage underground,2030,investment,0.5,EUR/kWh,maximum from https://www.nrel.gov/docs/fy10osti/46719.pdf,,2013.0
