osm_id,name,lon,lat,voltage_kv,operator,substation_type
403994529,,15.05141481999998,41.4967830400008,0.0,,minor_distribution
403994537,,15.081092019999977,41.5008272800009,0.0,,minor_distribution
403994538,,15.106896460000033,41.43774252000171,0.0,,minor_distribution
403994554,,15.049455619999971,41.50291954000089,0.0,,minor_distribution
403994558,,15.08070549999997,41.502561100000904,0.0,,minor_distribution
403994568,,15.084728360000005,41.48305114000162,0.0,,minor_distribution
403994572,,15.08075257999997,41.5015312600009,0.0,,minor_distribution
403994584,,15.077658539999964,41.505829120000946,0.0,,minor_distribution
403994621,,15.116125780000027,41.46047552000178,0.0,,minor_distribution
403994627,,15.084957640000024,41.477022400002035,0.0,,minor_distribution
403994646,,15.093825760000021,41.47422734000194,0.0,,minor_distribution
403994651,,15.085971060000023,41.47609576000201,0.0,,minor_distribution
403994696,,15.079392179999967,41.505506700000936,0.0,,minor_distribution
403994729,,15.084042539999999,41.48651946000002,0.0,,minor_distribution
403994745,,15.083808680000022,41.47823074000203,0.0,,minor_distribution
403994769,,15.086496020000023,41.47470992000197,0.0,,minor_distribution
403994791,,15.081346459999978,41.5000651800009,0.0,,minor_distribution
403994810,,15.08376318,41.484496039999996,0.0,,minor_distribution
403994817,,15.07528081999997,41.506618640000944,0.0,,minor_distribution
403994823,,15.115731320000029,41.45962042000178,0.0,,minor_distribution
403994831,,15.094616620000016,41.4685832000019,0.0,,minor_distribution
403994849,,15.098830880000023,41.47425520000194,0.0,,minor_distribution
403994855,,15.11588316000003,41.45954472000177,0.0,,minor_distribution
403994864,,15.08006295999997,41.5032704800009,0.0,,minor_distribution
403994872,,15.097686920000024,41.47430702000195,0.0,,minor_distribution
403994879,,15.0523516,41.484664280000004,0.0,,minor_distribution
403994898,,15.082192579999974,41.49857188000082,0.0,,minor_distribution
403994908,,15.091923400000022,41.47444182000196,0.0,,minor_distribution
403994914,,15.059603939999977,41.49934890000081,0.0,,minor_distribution
403994953,,15.076375799999969,41.50596692000095,0.0,,minor_distribution
403994963,,15.096534900000023,41.47437652000196,0.0,,minor_distribution
403994964,,15.11584352000003,41.461404760001805,0.0,,minor_distribution
403994968,,15.100677820000024,41.47492978000197,0.0,,minor_distribution
403994989,,15.079231983333296,41.50422116666759,0.0,,minor_distribution
403995029,,15.075403133333301,41.50663150000094,0.0,,minor_distribution
403995045,,15.040833466666653,41.49548335000026,0.0,,minor_distribution
