flowdate,market,hour,period,from,to,maxtransmissionlimitfrom,maxtransmissionlimitto,coefficient
20251220,MGP,1,4,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,1,4,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,1,4,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,1,4,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,1,4,CNOR,CSUD,2019.0000,2799.0000,0.0000
20251220,MGP,1,4,CNOR,NORD,4527.0000,3142.0000,0.0000
20251220,MGP,1,4,CALA,SICI,1552.0000,1493.0000,0.0000
20251220,MGP,1,4,CALA,SUD,2350.0000,1606.0000,0.0000
20251220,MGP,1,4,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,1,4,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,2,5,CALA,SICI,1552.0000,1493.0000,0.0000
20251220,MGP,2,5,CALA,SUD,2350.0000,1606.0000,0.0000
20251220,MGP,2,5,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,2,5,CNOR,CSUD,2019.0000,2799.0000,0.0000
20251220,MGP,2,5,CNOR,NORD,4527.0000,3042.0000,0.0000
20251220,MGP,2,5,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,2,5,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,2,5,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,2,5,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,2,5,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,2,5,CSUD,SUD,2400.0000,5506.0000,0.0000
20251220,MGP,2,5,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,2,5,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,2,5,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,2,6,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,2,6,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,2,6,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,2,6,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,2,6,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,2,6,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,6,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,2,6,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,2,6,CSUD,SUD,2400.0000,5506.0000,0.0000
20251220,MGP,2,6,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,6,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,2,6,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,2,6,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,2,6,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,2,6,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,2,6,CNOR,CSUD,2019.0000,2799.0000,0.0000
20251220,MGP,2,6,CNOR,NORD,4527.0000,3042.0000,0.0000
20251220,MGP,2,6,CALA,SICI,1552.0000,1493.0000,0.0000
20251220,MGP,2,6,CALA,SUD,2350.0000,1606.0000,0.0000
20251220,MGP,2,6,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,2,6,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,2,7,CALA,SICI,1552.0000,1493.0000,0.0000
20251220,MGP,2,7,CALA,SUD,2350.0000,1606.0000,0.0000
20251220,MGP,2,7,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,2,7,CNOR,CSUD,2019.0000,2799.0000,0.0000
20251220,MGP,2,7,CNOR,NORD,4527.0000,3042.0000,0.0000
20251220,MGP,2,7,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,2,7,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,2,7,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,2,7,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,2,7,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,2,7,CSUD,SUD,2400.0000,5506.0000,0.0000
20251220,MGP,2,7,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,2,7,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,2,7,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,2,8,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,2,8,SUD,XGRE,500.0000,500.0000,0.0000
