flowdate,hour,period,market,from,to,transit
20251228,1,1,MGP,BSP,COUP,-932.0000
20251228,1,1,MGP,CALA,SICI,418.5000
20251228,1,1,MGP,CALA,SUD,138.1000
20251228,1,1,MGP,CNOR,CORS,0.0000
20251228,1,1,MGP,CNOR,CSUD,1227.7000
20251228,1,1,MGP,CNOR,NORD,-1338.4000
20251228,1,1,MGP,COUP,XAUS,165.0000
20251228,1,1,MGP,COUP,XFRA,-3231.0000
20251228,1,1,MGP,CSUD,MONT,-406.0000
20251228,1,1,MGP,CSUD,SARD,-167.4000
20251228,1,1,MGP,CSUD,SUD,-1308.2000
20251228,1,1,MGP,NORD,AUST,0.0000
20251228,1,1,MGP,NORD,COUP,-2134.0000
20251228,1,1,MGP,NORD,FRAN,0.0000
20251228,1,1,MGP,NORD,SLOV,0.0000
20251228,1,1,MGP,NORD,SVIZ,-1747.0000
20251228,1,1,MGP,SARD,COAC,51.0000
20251228,1,1,MGP,SARD,CORS,34.0000
20251228,1,1,MGP,SICI,MALT,128.0000
20251228,1,1,MGP,SUD,GREC,0.0000
20251228,1,1,MGP,SUD,XGRE,-500.0000
20251228,1,2,MGP,SUD,XGRE,-500.0000
20251228,1,2,MGP,SUD,GREC,0.0000
20251228,1,2,MGP,SICI,MALT,122.0000
20251228,1,2,MGP,SARD,CORS,34.0000
20251228,1,2,MGP,SARD,COAC,51.0000
20251228,1,2,MGP,NORD,SVIZ,-1747.0000
20251228,1,2,MGP,NORD,SLOV,0.0000
20251228,1,2,MGP,NORD,FRAN,0.0000
20251228,1,2,MGP,NORD,COUP,-2134.0000
20251228,1,2,MGP,NORD,AUST,0.0000
20251228,1,2,MGP,CSUD,SUD,-1242.4000
20251228,1,2,MGP,CSUD,SARD,-175.8000
20251228,1,2,MGP,CSUD,MONT,-391.0000
20251228,1,2,MGP,COUP,XFRA,-3231.0000
20251228,1,2,MGP,COUP,XAUS,165.0000
20251228,1,2,MGP,CNOR,NORD,-1281.6000
20251228,1,2,MGP,CNOR,CSUD,1202.1000
20251228,1,2,MGP,CNOR,CORS,0.0000
20251228,1,2,MGP,CALA,SUD,46.9000
20251228,1,2,MGP,CALA,SICI,531.6000
20251228,1,2,MGP,BSP,COUP,-932.0000
20251228,1,3,MGP,BSP,COUP,-932.0000
20251228,1,3,MGP,CALA,SICI,357.1000
20251228,1,3,MGP,CALA,SUD,-178.1000
20251228,1,3,MGP,CNOR,CORS,0.0000
20251228,1,3,MGP,CNOR,CSUD,1354.8000
20251228,1,3,MGP,CNOR,NORD,-1427.5000
20251228,1,3,MGP,COUP,XAUS,165.0000
20251228,1,3,MGP,COUP,XFRA,-3231.0000
20251228,1,3,MGP,CSUD,MONT,-391.0000
20251228,1,3,MGP,CSUD,SARD,-175.0000
20251228,1,3,MGP,CSUD,SUD,-1056.1000
20251228,1,3,MGP,NORD,AUST,0.0000
20251228,1,3,MGP,NORD,COUP,-2134.0000
20251228,1,3,MGP,NORD,FRAN,0.0000
20251228,1,3,MGP,NORD,SLOV,0.0000
20251228,1,3,MGP,NORD,SVIZ,-1747.0000
20251228,1,3,MGP,SARD,COAC,51.0000
20251228,1,3,MGP,SARD,CORS,34.0000
20251228,1,3,MGP,SICI,MALT,116.0000
20251228,1,3,MGP,SUD,GREC,0.0000
20251228,1,3,MGP,SUD,XGRE,-500.0000
20251228,1,4,MGP,SUD,XGRE,-500.0000
20251228,1,4,MGP,SUD,GREC,0.0000
20251228,1,4,MGP,SICI,MALT,111.0000
20251228,1,4,MGP,SARD,CORS,34.0000
20251228,1,4,MGP,SARD,COAC,51.0000
20251228,1,4,MGP,NORD,SVIZ,-1747.0000
20251228,1,4,MGP,NORD,SLOV,0.0000
20251228,1,4,MGP,NORD,FRAN,0.0000
20251228,1,4,MGP,NORD,COUP,-2134.0000
20251228,1,4,MGP,NORD,AUST,0.0000
20251228,1,4,MGP,CSUD,SUD,-753.4000
20251228,1,4,MGP,CSUD,SARD,-182.6000
20251228,1,4,MGP,CSUD,MONT,-391.0000
20251228,1,4,MGP,COUP,XFRA,-3231.0000
20251228,1,4,MGP,COUP,XAUS,165.0000
20251228,1,4,MGP,CNOR,NORD,-1644.7000
20251228,1,4,MGP,CNOR,CSUD,1583.5000
20251228,1,4,MGP,CNOR,CORS,0.0000
20251228,1,4,MGP,CALA,SUD,-494.5000
20251228,1,4,MGP,CALA,SICI,684.3000
20251228,1,4,MGP,BSP,COUP,-932.0000
20251228,2,5,MGP,BSP,COUP,-802.1470
20251228,2,5,MGP,CALA,SICI,987.1000
20251228,2,5,MGP,CALA,SUD,-795.8000
20251228,2,5,MGP,CNOR,CORS,0.0000
20251228,2,5,MGP,CNOR,CSUD,1672.0000
20251228,2,5,MGP,CNOR,NORD,-1740.6000
20251228,2,5,MGP,COUP,XAUS,0.0000
20251228,2,5,MGP,COUP,XFRA,-2936.1470
20251228,2,5,MGP,CSUD,MONT,-428.0000
20251228,2,5,MGP,CSUD,SARD,-217.6000
20251228,2,5,MGP,CSUD,SUD,-442.2000
20251228,2,5,MGP,NORD,AUST,0.0000
20251228,2,5,MGP,NORD,COUP,-2134.0000
20251228,2,5,MGP,NORD,FRAN,0.0000
20251228,2,5,MGP,NORD,SLOV,0.0000
20251228,2,5,MGP,NORD,SVIZ,-1807.0000
20251228,2,5,MGP,SARD,COAC,30.0000
20251228,2,5,MGP,SARD,CORS,29.0000
20251228,2,5,MGP,SICI,MALT,106.0000
20251228,2,5,MGP,SUD,XGRE,-500.0000
20251228,2,5,MGP,SUD,GREC,0.0000
20251228,2,6,MGP,SUD,GREC,0.0000
20251228,2,6,MGP,SUD,XGRE,-500.0000
20251228,2,6,MGP,SICI,MALT,103.0000
20251228,2,6,MGP,SARD,CORS,29.0000
20251228,2,6,MGP,SARD,COAC,30.0000
