flowdate,hour,period,market,from,to,transit
20251230,2,6,MGP,SUD,GREC,0.0000
20251230,2,6,MGP,SUD,XGRE,-500.0000
20251230,2,6,MGP,SICI,MALT,99.0000
20251230,2,6,MGP,SARD,CORS,47.0000
20251230,2,6,MGP,SARD,COAC,99.0000
20251230,2,6,MGP,NORD,SVIZ,-787.0000
20251230,2,6,MGP,NORD,SLOV,0.0000
20251230,2,6,MGP,NORD,FRAN,0.0000
20251230,2,6,MGP,NORD,COUP,-1974.0000
20251230,2,6,MGP,NORD,AUST,0.0000
20251230,2,6,MGP,CSUD,SUD,-621.8000
20251230,2,6,MGP,CSUD,SARD,-101.8000
20251230,2,6,MGP,CSUD,MONT,-295.0000
20251230,2,6,MGP,COUP,XFRA,-2957.0000
20251230,2,6,MGP,COUP,XAUS,165.0000
20251230,2,6,MGP,CNOR,NORD,-1093.5000
20251230,2,6,MGP,CNOR,CSUD,507.5000
20251230,2,6,MGP,CNOR,CORS,0.0000
20251230,2,6,MGP,CALA,SUD,-915.3000
20251230,2,6,MGP,CALA,SICI,1109.8000
20251230,2,6,MGP,BSP,COUP,-818.0000
20251230,2,7,MGP,BSP,COUP,-818.0000
20251230,2,7,MGP,CALA,SICI,1042.1000
20251230,2,7,MGP,CALA,SUD,-842.7000
20251230,2,7,MGP,CNOR,CORS,0.0000
20251230,2,7,MGP,CNOR,CSUD,377.0000
20251230,2,7,MGP,CNOR,NORD,-972.7000
20251230,2,7,MGP,COUP,XAUS,165.0000
20251230,2,7,MGP,COUP,XFRA,-2957.0000
20251230,2,7,MGP,CSUD,MONT,-295.0000
20251230,2,7,MGP,CSUD,SARD,-111.9000
20251230,2,7,MGP,CSUD,SUD,-707.2000
20251230,2,7,MGP,NORD,AUST,0.0000
20251230,2,7,MGP,NORD,COUP,-1974.0000
20251230,2,7,MGP,NORD,FRAN,0.0000
20251230,2,7,MGP,NORD,SLOV,0.0000
20251230,2,7,MGP,NORD,SVIZ,-787.0000
20251230,2,7,MGP,SARD,COAC,99.0000
20251230,2,7,MGP,SARD,CORS,47.0000
20251230,2,7,MGP,SICI,MALT,95.0000
20251230,2,7,MGP,SUD,XGRE,-500.0000
20251230,2,7,MGP,SUD,GREC,0.0000
20251230,2,8,MGP,SUD,GREC,0.0000
20251230,2,8,MGP,SUD,XGRE,-500.0000
20251230,2,8,MGP,SICI,MALT,92.0000
20251230,2,8,MGP,SARD,CORS,47.0000
20251230,2,8,MGP,SARD,COAC,99.0000
20251230,2,8,MGP,NORD,SVIZ,-786.0000
20251230,2,8,MGP,NORD,SLOV,0.0000
20251230,2,8,MGP,NORD,FRAN,0.0000
20251230,2,8,MGP,NORD,COUP,-1974.0000
20251230,2,8,MGP,NORD,AUST,0.0000
20251230,2,8,MGP,CSUD,SUD,-775.1000
20251230,2,8,MGP,CSUD,SARD,-119.8000
20251230,2,8,MGP,CSUD,MONT,-315.0000
20251230,2,8,MGP,COUP,XFRA,-2957.0000
20251230,2,8,MGP,COUP,XAUS,165.0000
20251230,2,8,MGP,CNOR,NORD,-861.4000
20251230,2,8,MGP,CNOR,CSUD,265.0000
20251230,2,8,MGP,CNOR,CORS,0.0000
20251230,2,8,MGP,CALA,SUD,-820.9000
20251230,2,8,MGP,CALA,SICI,1024.7000
20251230,2,8,MGP,BSP,COUP,-818.0000
