flowdate,hour,period,market,from,to,transit
20251220,1,1,MGP,BSP,COUP,649.0000
20251220,1,1,MGP,CALA,SICI,974.4000
20251220,1,1,MGP,CALA,SUD,-377.0000
20251220,1,1,MGP,CNOR,CORS,0.0000
20251220,1,1,MGP,CNOR,CSUD,1472.2000
20251220,1,1,MGP,CNOR,NORD,-2331.6000
20251220,1,1,MGP,COUP,XAUS,-78.1150
20251220,1,1,MGP,COUP,XFRA,-4192.0000
20251220,1,1,MGP,CSUD,MONT,-427.0000
20251220,1,1,MGP,CSUD,SARD,14.2000
20251220,1,1,MGP,CSUD,SUD,-563.1000
20251220,1,1,MGP,NORD,AUST,0.0000
20251220,1,1,MGP,NORD,COUP,-4919.1150
20251220,1,1,MGP,NORD,FRAN,0.0000
20251220,1,1,MGP,NORD,SLOV,0.0000
20251220,1,1,MGP,NORD,SVIZ,-689.0000
20251220,1,1,MGP,SARD,COAC,97.0000
20251220,1,1,MGP,SARD,CORS,47.0000
20251220,1,1,MGP,SICI,MALT,101.0000
20251220,1,1,MGP,SUD,GREC,0.0000
20251220,1,1,MGP,SUD,XGRE,-500.0000
20251220,1,2,MGP,SUD,XGRE,-500.0000
20251220,1,2,MGP,SUD,GREC,0.0000
20251220,1,2,MGP,SICI,MALT,97.0000
20251220,1,2,MGP,SARD,CORS,47.0000
20251220,1,2,MGP,SARD,COAC,97.0000
20251220,1,2,MGP,NORD,SVIZ,-689.0000
20251220,1,2,MGP,NORD,SLOV,0.0000
20251220,1,2,MGP,NORD,FRAN,0.0000
20251220,1,2,MGP,NORD,COUP,-5206.0000
20251220,1,2,MGP,NORD,AUST,0.0000
20251220,1,2,MGP,CSUD,SUD,-473.4000
20251220,1,2,MGP,CSUD,SARD,-11.2000
20251220,1,2,MGP,CSUD,MONT,-427.0000
20251220,1,2,MGP,COUP,XFRA,-4192.0000
20251220,1,2,MGP,COUP,XAUS,-365.0000
20251220,1,2,MGP,CNOR,NORD,-2407.7000
20251220,1,2,MGP,CNOR,CSUD,1614.8000
20251220,1,2,MGP,CNOR,CORS,0.0000
20251220,1,2,MGP,CALA,SUD,-356.7000
20251220,1,2,MGP,CALA,SICI,982.2000
20251220,1,2,MGP,BSP,COUP,649.0000
20251220,1,3,MGP,BSP,COUP,649.0000
20251220,1,3,MGP,CALA,SICI,941.2000
20251220,1,3,MGP,CALA,SUD,-297.7000
20251220,1,3,MGP,CNOR,CORS,0.0000
20251220,1,3,MGP,CNOR,CSUD,1390.7000
20251220,1,3,MGP,CNOR,NORD,-2215.0000
20251220,1,3,MGP,COUP,XAUS,-365.0000
20251220,1,3,MGP,COUP,XFRA,-4192.0000
20251220,1,3,MGP,CSUD,MONT,-427.0000
20251220,1,3,MGP,CSUD,SARD,-30.2000
20251220,1,3,MGP,CSUD,SUD,-636.7000
20251220,1,3,MGP,NORD,AUST,0.0000
20251220,1,3,MGP,NORD,COUP,-5206.0000
20251220,1,3,MGP,NORD,FRAN,0.0000
20251220,1,3,MGP,NORD,SLOV,0.0000
20251220,1,3,MGP,NORD,SVIZ,-677.5000
20251220,1,3,MGP,SARD,COAC,97.0000
20251220,1,3,MGP,SARD,CORS,47.0000
20251220,1,3,MGP,SICI,MALT,91.0000
20251220,1,3,MGP,SUD,GREC,0.0000
20251220,1,3,MGP,SUD,XGRE,-500.0000
20251220,1,4,MGP,SUD,XGRE,-500.0000
20251220,1,4,MGP,SUD,GREC,0.0000
20251220,1,4,MGP,SICI,MALT,85.0000
20251220,1,4,MGP,SARD,CORS,47.0000
20251220,1,4,MGP,SARD,COAC,97.0000
20251220,1,4,MGP,NORD,SVIZ,-652.5000
20251220,1,4,MGP,NORD,SLOV,0.0000
20251220,1,4,MGP,NORD,FRAN,0.0000
20251220,1,4,MGP,NORD,COUP,-5206.0000
