flowdate,hour,market,zone,price,period
20251230,1,MGP,AUST,109.770000,1
20251230,1,MGP,AUST,106.100000,2
20251230,1,MGP,AUST,104.890000,3
20251230,1,MGP,AUST,99.640000,4
20251230,2,MGP,AUST,100.080000,5
20251230,2,MGP,AUST,99.640000,6
20251230,2,MGP,AUST,99.640000,7
20251230,2,MGP,AUST,99.640000,8
20251230,3,MGP,AUST,99.540000,9
20251230,3,MGP,AUST,99.640000,10
20251230,3,MGP,AUST,98.850000,11
20251230,3,MGP,AUST,98.850000,12
20251230,4,MGP,AUST,96.850000,13
20251230,4,MGP,AUST,94.800000,14
20251230,4,MGP,AUST,94.800000,15
20251230,4,MGP,AUST,94.800000,16
20251230,5,MGP,AUST,98.500000,17
20251230,5,MGP,AUST,98.500000,18
20251230,5,MGP,AUST,98.500000,19
20251230,5,MGP,AUST,98.500000,20
20251230,6,MGP,AUST,99.640000,21
20251230,6,MGP,AUST,99.640000,22
20251230,6,MGP,AUST,99.640000,23
20251230,6,MGP,AUST,106.100000,24
20251230,7,MGP,AUST,99.640000,25
20251230,7,MGP,AUST,105.000000,26
20251230,7,MGP,AUST,105.000000,27
20251230,7,MGP,AUST,109.770000,28
20251230,8,MGP,AUST,109.770000,29
20251230,8,MGP,AUST,117.720000,30
20251230,8,MGP,AUST,120.280000,31
20251230,8,MGP,AUST,120.280000,32
20251230,9,MGP,AUST,124.500000,33
20251230,9,MGP,AUST,128.840000,34
20251230,9,MGP,AUST,122.210000,35
20251230,9,MGP,AUST,120.280000,36
20251230,10,MGP,AUST,125.910000,37
20251230,10,MGP,AUST,122.210000,38
20251230,10,MGP,AUST,117.720000,39
20251230,10,MGP,AUST,115.000000,40
20251230,11,MGP,AUST,113.460000,41
20251230,11,MGP,AUST,109.770000,42
20251230,11,MGP,AUST,109.130000,43
20251230,11,MGP,AUST,99.640000,44
20251230,12,MGP,AUST,109.130000,45
20251230,12,MGP,AUST,106.700000,46
20251230,12,MGP,AUST,100.850000,47
20251230,12,MGP,AUST,99.640000,48
20251230,13,MGP,AUST,99.640000,49
20251230,13,MGP,AUST,97.000000,50
20251230,13,MGP,AUST,92.700000,51
20251230,13,MGP,AUST,91.570000,52
20251230,14,MGP,AUST,92.700000,53
20251230,14,MGP,AUST,93.700000,54
20251230,14,MGP,AUST,96.310000,55
20251230,14,MGP,AUST,97.290000,56
20251230,15,MGP,AUST,97.000000,57
20251230,15,MGP,AUST,99.640000,58
20251230,15,MGP,AUST,100.850000,59
20251230,15,MGP,AUST,104.350000,60
20251230,16,MGP,AUST,105.000000,61
20251230,16,MGP,AUST,109.770000,62
20251230,16,MGP,AUST,111.880000,63
20251230,16,MGP,AUST,117.720000,64
20251230,17,MGP,AUST,112.500000,65
20251230,17,MGP,AUST,117.720000,66
20251230,17,MGP,AUST,117.720000,67
20251230,17,MGP,AUST,124.060000,68
20251230,18,MGP,AUST,122.210000,69
20251230,18,MGP,AUST,122.210000,70
20251230,18,MGP,AUST,122.210000,71
20251230,18,MGP,AUST,122.210000,72
20251230,19,MGP,AUST,120.400000,73
20251230,19,MGP,AUST,120.280000,74
20251230,19,MGP,AUST,120.800000,75
20251230,19,MGP,AUST,129.590000,76
20251230,20,MGP,AUST,132.500000,77
20251230,20,MGP,AUST,138.590000,78
20251230,20,MGP,AUST,131.190000,79
20251230,20,MGP,AUST,122.210000,80
20251230,21,MGP,AUST,123.950000,81
20251230,21,MGP,AUST,120.280000,82
20251230,21,MGP,AUST,119.322140,83
20251230,21,MGP,AUST,117.720000,84
20251230,22,MGP,AUST,115.857180,85
20251230,22,MGP,AUST,112.000000,86
20251230,22,MGP,AUST,112.000000,87
20251230,22,MGP,AUST,109.770000,88
20251230,23,MGP,AUST,109.770000,89
20251230,23,MGP,AUST,109.770000,90
20251230,23,MGP,AUST,109.130000,91
20251230,23,MGP,AUST,109.130000,92
20251230,24,MGP,AUST,109.130000,93
20251230,24,MGP,AUST,102.850000,94
20251230,24,MGP,AUST,99.640000,95
20251230,24,MGP,AUST,95.500000,96
20251230,1,MGP,BSP,109.770000,1
20251230,1,MGP,BSP,106.100000,2
20251230,1,MGP,BSP,104.890000,3
20251230,1,MGP,BSP,99.640000,4
20251230,2,MGP,BSP,100.080000,5
20251230,2,MGP,BSP,99.640000,6
20251230,2,MGP,BSP,99.640000,7
20251230,2,MGP,BSP,99.640000,8
